scan_no,timestamp,pair,buy_dex,sell_dex,buy_pool,sell_pool,buy_price_usdc,sell_price_usdc,spot_spread_bps,executable_spread_bps,raw_spread_bps,trade_size_usd,gross_profit_usd,slippage_cost_usd,gas_cost_usd,expected_net_edge,p_fill,e_profit,profitable
1,1777605425.5045779,GHST/WETH,univ3_10000,qsv2,0x8f16A8E864162ec84a2906646E08a561b5A7f72d,0xcCB9d2100037f1253e6C1682AdF7dC9944498AFF,2219.42109224,2226.16822222,193.0977,30.4004,30.4004,0.04,0.0001,0.0,0.0396,-0.0394,0.0003,0.0,False
1,1777605425.504992,LINK/DAI,qsv2,univ3_3000,0xFBa51e1eA2d46c4D5E98f27E1F5333969d2222D7,0x153D9ecFbe79FFecdB2aACfab5Abc4756F5f0CF0,0.98708232,0.99699713,263.388,100.4456,100.4456,0.01,0.0001,0.0,0.0396,-0.0395,0.0003,0.0,False
1,1777605425.505426,LINK/USDT,qsv2,univ3_10000,0xE2FeE46bd868c85A99c79f18D6C3fF441d0E3CD6,0x2d8e5F3bbb21e1A3B52dF89007B0CC8b09bA8523,0.99755547,1.001146,204.4682,35.9933,35.9933,0.0,0.0,0.0,0.0396,-0.0396,0.0003,0.0,False
1,1777605425.5056734,LINK/WETH,qsv2,univ3_10000,0x5cA6CA6c3709E1E6CFe74a50Cf6B2B6BA2Dadd67,0x5cb7076245A3134f7072f8395045E31C037aeB08,2267.25879334,2300.17438938,427.711,145.1779,145.1779,0.0,0.0,0.0,0.0396,-0.0395,0.0003,0.0,False
1,1777605425.505871,MAI/USDT,univ3_100,qsv2,0x6c8408F735C2f73b8f9271F663B1540bb8C2ACcE,0xE89faE1B4AdA2c869f05a0C96C87022DaDC7709a,0.99390901,0.99708847,95.3739,31.9895,31.9895,0.73,0.0023,0.0,0.0396,-0.0372,0.0003,0.0,False
1,1777605425.506041,MANA/SAND,qsv2,univ3_3000,0x98e30374825af4d779e3F8259F0714Ad74a91894,0x88F8c8670fcfAdeE840fC323E1C29109e9bBcfAb,0.07285414,0.07358096,262.0025,99.7638,99.7638,0.0,0.0,0.0,0.0396,-0.0395,0.0003,0.0,False
1,1777605425.5062199,SUSHI/USDCe,univ3_100,univ3_10000,0xc0BCc2418B8b8e5C1D84443E01bfdAed5BC8D1e7,0x7CF58c7122FbF6C4361A20aaB0f6e2dD05455666,0.98602721,1.01148327,630.3568,258.1679,258.1679,0.0,0.0001,0.0,0.0396,-0.0395,0.0003,0.0,False
1,1777605425.506378,SUSHI/USDT,qsv2,univ3_10000,0xdAa4745705cdc72fdf274E5d75d0c22B109104D2,0x89F188CB56e6A2D29BF8D1102122734bF5b8ac6d,1.01984761,1.03908473,517.2214,188.6275,188.6275,0.0,0.0,0.0,0.0396,-0.0396,0.0003,0.0,False
1,1777605425.5067675,SUSHI/WMATIC,qsv2,univ3_100,0x0B3a76D33d93b2651dbf03B102EEFa9500E89243,0x5F2D841851cf6C43E8C4059eC83eE733D09Ce5c9,0.09421124,0.09595091,404.9754,184.6566,184.6566,0.0,0.0001,0.0,0.0396,-0.0395,0.0003,0.0,False
1,1777605425.507355,USDC/DAI,qsv2,univ3_3000,0xD29a84Ba6DEb95063bd3a0a32212dCb272156Bea,0x02765EB2283a5c644C2bEf51911e2f9039FC225B,0.99565615,0.99907755,129.5306,34.3633,34.3633,0.0,0.0,0.0,0.0396,-0.0395,0.0003,0.0,False
1,1777605425.50762,USDC/WETH,univ3_10000,univ3_500,0x12bD7Ae45ACF2504BED144Eabc6FF5bBEbd91563,0xA4D8c89f0c20efbe54cBa9e7e7a7E509056228D9,2266.05041418,2268.22367581,125.4569,9.5905,9.5905,0.0,0.0,0.0,0.0396,-0.0396,0.0003,0.0,False
